feature_name,importance
numeric__seller_avg_prep_minutes,17646.21430745721
categorical__seller_category_electronics,4516.397866666317
numeric__trip_distance_km,3055.8739183843136
numeric__courier_load,1902.3930506706238
numeric__seller_reliability,1852.7881003022194
numeric__is_peak_hour,1386.596096932888
numeric__order_size,1265.1685028672218
numeric__hour_of_day,1054.7089982628822
numeric__is_high_complexity_order,1031.8363899290562
numeric__dropoff_latitude,816.7679779827595
categorical__seller_category_fashion,772.7893706858158
numeric__dropoff_longitude,656.921548217535
numeric__pickup_longitude,651.8766256868839
numeric__pickup_latitude,591.7206603586674
numeric__day_of_week,444.63073259592056
numeric__priority_flag,220.93712410330772
categorical__seller_category_pharmacy,212.43074348568916
numeric__month,207.02604550123215
categorical__seller_category_restaurant,100.7456826865673
categorical__seller_category_supermarket,90.97581025958061
numeric__is_weekend,43.181648671627045
